date,united,party,national,american,john,south,world,british,australian,australia,university,international,house,york,european,wikinews,bush,north,david,america,city,canada,department,union,london,council,iraq,state,kingdom,court,george,nations,china,news,u.s.,democratic,uk,france,obama,washington,michael,europe,us,bbc,center,committee,west,east,paul,for,security,california,africa,senate,war,air,england,white,germany,french,india,ministry,russia,zealand,press,israel,republic,iran,japan,category,times,police,afghanistan,association,robert,peter,chinese,internet,act,de,islamic,county,cup,commission,african,britain,mark,agency,iraqi,space,james,pakistan,korea,park,justice,un,office,royal,army,central
201311,7,2,3,2,4,1,4,4,2,6,2,5,2,4,3,9,0,0,1,0,1,3,3,2,3,1,0,6,4,3,0,2,4,0,1,0,1,2,2,2,1,1,4,0,4,4,3,0,1,2,1,1,1,0,0,0,1,0,3,3,1,1,3,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,3,4,0,2,3,1,0,1,0,2,0,0,0,4,0,0,0,2,0,0,0,2
201312,6,8,5,3,3,14,13,5,11,8,4,3,3,1,1,4,0,3,3,1,0,2,1,4,4,2,0,0,4,1,1,1,2,3,0,1,2,2,4,0,0,1,0,1,2,0,1,2,1,0,0,0,9,0,3,1,0,0,1,0,1,0,0,3,0,1,0,2,3,0,1,2,0,0,1,2,1,0,4,3,0,2,7,4,1,2,0,0,0,0,0,1,3,2,1,0,0,3,0,1
201401,5,1,5,1,1,4,5,1,9,8,10,0,0,1,2,5,0,4,2,1,0,1,2,1,2,0,0,3,1,2,0,3,2,2,0,0,1,0,0,0,0,1,1,3,5,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1,3,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0
201402,1,4,6,0,3,4,1,1,0,3,6,0,1,2,4,4,0,4,1,1,2,0,0,0,1,2,0,5,1,2,0,0,3,3,2,2,3,3,2,0,0,1,2,3,1,1,4,3,1,3,0,2,1,1,2,1,4,0,1,1,0,0,1,0,0,4,0,0,3,0,1,2,0,2,0,0,1,0,3,0,6,0,0,1,0,0,0,4,0,3,2,0,2,2,1,0,2,0,0,1
201403,10,3,2,4,5,5,5,3,3,6,11,9,8,5,2,7,0,3,9,1,0,8,2,4,2,1,2,9,5,4,1,4,2,3,0,2,5,3,2,3,1,2,3,1,4,16,5,3,3,1,2,0,0,7,3,2,1,0,5,1,1,1,14,0,2,1,4,2,0,0,0,0,3,2,0,0,2,1,2,0,0,5,0,0,0,2,2,2,1,1,2,0,1,5,0,0,1,1,1,2
201404,3,1,3,2,3,0,7,5,0,4,6,2,2,2,1,2,0,0,4,1,0,1,1,1,2,2,0,4,2,0,1,0,1,3,0,0,3,0,0,2,4,0,1,3,1,8,1,1,2,1,0,0,0,0,2,1,1,0,2,0,2,2,1,1,1,0,1,0,0,0,0,0,2,2,3,0,0,0,2,2,0,0,1,0,0,1,2,0,0,0,4,0,0,0,0,0,1,2,0,0
201405,6,6,4,0,0,3,2,2,6,6,7,0,1,0,2,1,0,3,3,0,0,4,0,1,1,0,0,0,5,1,2,1,0,3,0,0,4,0,1,1,1,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,1,1,0,0,3,2,0,2,1,1,0,0,0,2,3,0,0,0,1,1,1,3
201406,5,12,3,0,1,0,16,3,8,9,3,6,1,0,10,1,0,2,4,0,0,10,1,0,2,2,1,1,3,2,2,1,8,2,1,0,4,3,1,0,4,0,0,3,0,0,0,0,1,3,1,0,0,0,3,0,4,0,8,3,0,1,4,1,2,1,3,1,8,0,0,2,0,0,2,3,3,0,1,4,0,0,2,1,0,7,0,0,0,0,0,0,0,1,1,2,0,2,0,1
201407,3,1,4,1,5,2,1,3,6,3,5,4,0,1,2,2,0,1,3,0,6,2,2,2,1,5,1,1,1,0,1,2,1,1,2,0,1,1,1,1,3,2,2,3,0,0,2,1,1,3,5,0,0,1,0,2,1,0,0,0,4,1,2,0,0,8,0,0,2,0,0,0,0,3,0,2,0,0,2,1,3,0,3,2,0,1,2,1,0,2,1,3,0,1,0,3,0,2,0,0
201408,9,3,12,1,3,2,1,2,7,6,7,3,3,2,2,1,0,0,2,1,1,0,6,2,1,3,6,7,3,0,1,3,2,1,2,2,7,2,7,1,4,2,3,1,0,0,3,2,3,1,8,1,1,1,3,2,1,4,2,0,1,1,4,0,2,3,0,1,0,0,0,0,4,1,0,0,0,0,4,0,6,1,0,0,1,0,0,0,2,1,0,0,0,0,0,3,5,2,5,0
201409,5,2,1,0,3,2,1,1,1,5,5,3,1,1,3,1,0,2,3,1,1,0,1,4,0,1,3,8,3,0,1,1,4,1,0,1,2,0,2,0,0,1,0,1,0,0,2,2,1,1,2,2,1,0,1,0,0,1,0,0,2,1,3,0,0,0,1,0,2,0,0,0,3,0,0,2,2,0,0,0,6,1,0,0,0,0,1,0,3,0,0,1,1,0,0,1,0,1,0,0
201411,2,3,1,1,2,3,1,0,2,4,0,0,0,2,0,11,2,0,1,1,3,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,4,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
201410,2,1,1,0,3,1,1,1,2,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
201412,3,3,8,0,1,2,1,2,3,2,1,5,2,1,2,2,1,1,1,1,0,0,0,1,0,0,0,1,0,3,1,1,0,2,2,3,2,3,1,0,1,1,3,1,0,5,0,1,0,0,0,0,0,4,0,1,0,1,1,3,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,1,0,3,0,1,1,0,0,2,1,1,1,0
201501,1,4,3,1,2,8,5,2,0,0,3,1,6,1,0,1,1,1,3,3,0,0,2,1,3,2,0,1,0,0,4,0,0,0,2,0,2,7,6,0,1,1,2,2,1,5,0,0,1,2,0,0,5,1,2,2,1,2,1,4,1,0,1,0,1,2,3,0,2,0,0,2,0,2,0,0,0,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
201502,5,0,3,0,3,2,2,3,1,0,4,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,1,1,1,2,0,2,0,0,0,1,2,2,0,0,0,2,1,3,2,1,4,1,0,2,0,0,0,0,1,0,0,0,3,2,2,1,1,0,1,2,1,0,0,0,1,0,0,1,2,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
201503,3,0,2,4,0,2,1,1,0,3,5,1,0,0,3,0,0,2,1,0,1,0,2,2,2,1,0,1,1,1,1,0,1,0,0,0,1,2,0,0,1,0,0,1,2,0,5,0,1,1,1,0,0,0,1,0,6,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
