"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"35",92,74,125,71,6,10,39,9,8,1,57,65,79,44,28,63,29,20,2,34,9,6,162,39,5,42,8,117,1,73,7,50,5,52,0,59,4,0,13,39,3,7,72,10,48,63,11,7,3,47,56,24,2,108,20,40,2,9,2,4,0,25,1,2,44,2,11,6,6,12,42,13,5,31,3,0,6,20,47,5,10,18,1,39,4,1,1,48,6,6,4,5,5,8,37,22,31,9,65,35
"36",49,287,136,96,5,22,25,17,0,3,43,25,76,23,27,50,13,17,0,28,13,12,16,56,6,37,8,35,9,30,3,25,14,32,59,0,10,6,13,15,2,5,44,13,17,44,10,14,0,59,26,6,10,63,22,7,2,6,8,4,4,9,7,2,19,3,72,4,10,10,27,9,6,15,5,0,10,9,25,1,9,10,0,33,31,3,0,16,9,1,0,4,10,4,30,6,17,10,23,12
"37",249,22,24,2,2,45,8,35,4,48,16,17,42,33,12,15,2,37,1,36,31,34,10,15,156,12,55,13,236,17,2,6,29,15,4,10,0,55,0,23,0,67,10,29,7,7,33,40,1,12,5,15,25,1,4,4,105,25,44,1,35,12,39,16,6,15,16,33,22,1,7,6,47,10,0,3,0,5,11,3,3,2,0,8,0,123,0,16,1,1,4,13,11,12,6,3,36,20,7,7
"38",115,4,18,8,2,70,11,13,3,72,6,19,25,35,17,5,0,24,1,41,30,85,4,19,58,4,32,6,106,5,0,6,79,1,0,6,55,0,1,21,0,120,5,3,12,4,11,24,0,7,3,23,56,2,3,35,52,22,179,21,34,5,106,28,6,50,40,58,62,8,4,6,24,2,0,1,1,4,0,37,4,3,1,1,2,73,3,4,1,3,1,21,39,8,0,4,2,7,2,5
"39",5,11,10,11,146,2,2,1,0,0,7,4,4,6,2,11,77,2,51,6,1,0,5,3,1,6,0,6,0,4,81,5,0,9,13,13,0,1,0,9,34,0,12,1,1,4,3,1,56,7,8,1,0,12,5,4,0,7,0,1,0,1,0,0,2,0,2,0,0,0,4,0,0,0,48,13,1,2,6,3,1,4,0,1,1,0,12,3,1,0,15,1,0,4,5,4,2,0,1,2
"40",57,21,48,17,11,57,15,9,0,26,40,18,103,107,8,22,12,61,3,94,48,38,32,14,31,13,88,45,14,18,27,11,38,26,39,15,23,21,9,0,6,36,20,8,28,18,29,48,8,9,20,55,19,20,12,9,16,89,24,1,19,4,33,8,23,40,12,44,22,9,39,3,54,10,4,0,0,5,17,7,5,16,0,8,1,22,2,14,2,6,6,27,24,16,13,3,15,0,6,13
"41",1,4,4,1,122,0,1,2,1,0,3,0,2,2,0,2,56,3,90,3,6,2,0,3,2,1,1,5,2,3,72,0,0,3,3,2,0,0,34,6,0,0,1,0,1,3,5,4,59,1,5,1,0,2,2,3,0,14,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,52,36,0,1,5,18,0,5,0,0,0,0,47,0,0,7,45,0,0,9,5,0,2,8,2,0
"42",93,13,12,4,0,55,9,12,3,45,13,22,34,32,22,20,4,54,1,88,23,49,8,26,57,20,36,8,76,9,0,6,58,2,7,5,67,120,0,36,0,0,6,6,8,7,19,51,1,22,18,15,53,3,11,6,33,30,95,10,30,9,81,10,6,42,42,52,43,44,9,4,21,3,0,0,2,7,3,9,3,4,0,12,1,51,0,3,0,8,0,14,25,9,4,4,4,6,4,21
"43",91,76,120,36,5,13,31,14,18,0,53,64,57,32,24,69,12,14,0,34,9,2,114,34,2,38,7,86,1,49,4,56,5,46,72,44,10,5,12,20,1,6,0,18,37,57,10,6,0,44,58,8,1,63,12,39,3,9,2,3,1,20,1,1,40,3,12,2,5,10,36,11,3,17,4,0,3,16,28,4,10,15,1,23,9,0,0,35,4,12,0,1,4,9,32,41,36,8,42,10
"44",63,59,80,5,1,7,39,52,6,3,31,48,26,16,34,35,1,4,0,9,7,2,25,49,29,38,6,23,12,30,3,36,2,174,10,13,29,3,1,8,0,6,18,0,5,23,6,2,4,39,24,2,4,2,4,13,5,1,2,2,4,35,3,2,36,3,3,5,3,19,32,30,2,24,0,0,0,16,10,7,8,3,0,23,7,7,0,22,4,3,3,4,0,4,19,25,30,23,20,10
"45",48,18,134,43,5,18,79,4,8,6,74,75,32,53,19,44,3,23,1,36,37,10,57,22,3,33,12,45,4,19,3,23,22,33,48,17,7,12,1,28,1,8,37,5,0,32,9,15,3,83,27,36,3,20,5,18,6,15,3,2,6,22,4,3,25,12,10,4,17,28,25,13,10,39,3,0,7,20,12,10,10,32,0,15,0,0,0,38,1,57,4,6,9,16,8,12,20,4,19,18
"46",71,74,124,25,5,10,31,17,37,7,43,123,103,29,30,72,11,23,1,28,16,16,62,38,15,49,6,46,3,32,5,47,4,33,63,44,7,4,4,18,3,7,57,23,32,0,6,8,3,47,36,5,2,102,11,17,3,7,0,2,3,17,1,5,35,0,6,3,2,23,32,14,0,31,2,2,9,9,32,13,7,12,4,39,7,3,2,26,6,4,0,2,1,10,27,24,21,12,19,20
"47",58,16,21,15,9,62,11,21,20,33,20,13,30,51,14,23,9,71,12,50,37,35,9,18,30,10,23,9,35,8,15,12,13,12,11,10,33,11,3,29,5,19,10,6,9,6,0,63,11,15,2,25,29,4,12,6,44,23,21,6,29,3,13,10,4,67,5,20,12,9,2,11,13,6,4,5,5,4,7,4,16,14,1,7,18,22,4,11,4,1,8,12,5,20,4,5,9,10,8,19
"48",77,17,20,7,6,72,12,16,16,58,22,12,52,51,7,16,4,74,6,59,42,34,9,8,32,6,81,12,50,7,4,14,35,11,7,14,40,24,1,48,4,51,6,2,15,8,63,0,5,15,8,11,52,6,9,7,31,46,34,1,23,5,34,21,6,107,13,76,17,10,9,2,41,10,3,4,4,4,5,4,6,16,3,5,12,24,2,10,0,2,1,14,24,15,6,6,9,7,4,14
"49",7,2,4,1,153,2,1,1,0,0,2,3,4,10,1,5,42,8,67,7,11,3,2,4,10,4,4,4,4,7,61,2,2,5,3,0,1,0,56,8,59,1,0,4,3,3,11,5,0,2,3,2,0,2,3,1,0,7,0,0,0,2,1,0,7,1,1,1,1,2,3,5,1,3,30,41,1,1,3,10,0,5,0,2,0,3,31,0,0,1,34,0,1,11,8,1,0,8,1,0
"50",132,101,145,34,5,19,60,22,9,4,81,111,53,31,52,57,6,13,3,30,13,6,89,76,18,76,3,71,4,46,5,93,3,46,47,59,12,7,7,9,1,22,44,39,83,47,15,15,2,0,65,12,5,37,14,15,6,4,1,8,3,48,3,4,29,4,13,6,4,17,41,14,0,49,5,2,2,28,26,14,12,16,0,54,9,5,1,40,4,11,5,3,1,12,35,40,39,16,17,14
"51",168,44,119,17,6,13,14,12,10,3,42,102,25,31,44,46,15,18,1,12,6,5,77,58,5,215,5,54,0,30,5,143,7,44,56,26,5,3,8,20,5,18,58,24,27,36,2,8,3,65,0,1,3,31,9,19,2,9,0,2,4,55,4,0,26,4,13,10,1,3,38,21,5,8,0,1,2,9,36,4,14,2,0,20,15,1,1,58,11,3,1,2,9,5,22,109,30,16,30,25
"52",28,13,31,14,2,47,10,9,0,20,54,14,35,69,2,14,3,43,1,58,52,35,21,7,22,6,22,28,16,22,3,1,18,14,24,6,15,23,1,55,1,15,8,2,36,5,25,11,2,12,1,0,10,9,9,14,12,24,13,1,11,1,9,12,7,12,4,11,21,15,13,5,9,10,4,0,0,5,14,4,1,47,0,2,0,12,0,3,0,9,10,7,10,15,6,0,4,5,6,12
