date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,National
20080601,33,45,37,27,48,17,30,15,41,39,38,14,19,46,32,7,13,42,28,20,10,31,51,29,49,34,21,4,40,5,23,18,24,35,3,43,8,36,26,50,44,1,47,22,6,12,9,25,11,16,2,0
20080701,31,32,40,28,49,19,33,16,41,44,37,11,20,42,34,9,17,38,22,21,12,30,51,25,48,39,14,4,43,5,29,18,26,35,3,46,6,36,27,50,45,2,47,23,7,13,10,24,8,15,1,0
20080801,32,31,46,23,49,18,33,20,36,47,38,12,21,40,34,9,19,39,27,17,13,29,51,24,41,42,14,4,44,5,25,15,28,35,2,43,6,37,30,50,48,3,45,22,7,11,10,26,8,16,1,0
20080901,31,32,46,24,49,17,35,25,42,45,41,19,20,36,29,9,15,40,30,21,12,33,50,26,43,37,16,4,47,6,27,14,28,34,2,39,8,38,18,51,48,3,44,22,5,13,10,23,7,11,1,0
20081001,34,35,43,22,49,16,31,30,42,46,44,17,23,37,33,8,14,38,24,25,15,29,50,20,40,36,18,4,47,5,27,13,28,32,1,39,9,45,21,51,48,3,41,19,6,11,10,26,7,12,2,0
20081101,34,36,42,24,50,17,28,25,43,44,41,19,32,33,37,10,11,38,18,30,14,29,47,20,31,35,21,3,48,6,23,12,26,45,1,39,8,49,22,51,46,4,40,15,5,13,9,27,7,16,2,0
20081201,34,31,39,25,46,17,20,22,37,41,42,18,32,35,43,13,9,40,15,30,14,26,50,27,36,33,21,2,47,5,28,11,24,45,1,38,6,48,23,51,49,4,44,16,10,12,8,29,7,19,3,0
20070101,15,50,13,43,38,16,25,8,44,6,17,1,18,33,35,19,20,47,27,34,11,41,51,36,49,37,9,4,21,14,26,12,28,30,10,46,22,45,29,42,48,7,31,24,2,23,3,39,32,40,5,0
20070201,16,51,8,43,36,15,26,12,41,5,18,1,17,33,35,21,24,48,14,37,10,34,50,32,49,38,9,6,20,19,27,11,29,30,13,44,25,45,28,39,47,7,31,22,2,23,3,40,42,46,4,0
20070301,13,51,9,39,40,14,25,11,44,6,17,2,15,31,33,21,23,48,18,41,7,34,50,38,49,35,10,3,24,19,26,12,27,28,16,45,22,46,29,42,43,8,30,20,1,32,4,36,37,47,5,0
20070401,10,50,15,42,43,13,22,14,40,11,26,2,7,36,31,17,19,44,23,41,8,33,51,37,49,29,9,3,30,18,27,16,28,34,12,48,20,45,21,39,46,5,24,25,1,32,4,35,38,47,6,0
20070501,11,50,15,48,43,12,27,9,44,17,22,3,1,35,28,13,23,46,29,37,14,33,51,24,49,38,8,10,25,16,26,18,30,39,4,47,32,40,31,41,45,5,20,21,2,19,6,36,34,42,7,0
20070601,18,49,14,45,43,15,23,10,46,17,34,6,1,41,24,11,20,44,39,21,13,35,51,30,50,42,12,7,25,9,19,22,26,37,8,47,31,38,27,36,48,2,28,32,3,16,5,29,33,40,4,0
20070701,19,44,16,49,45,13,34,11,46,20,37,5,1,40,24,8,25,41,29,22,14,30,51,21,50,42,12,9,26,10,31,17,35,38,6,47,18,39,32,43,48,2,27,33,4,15,7,28,23,36,3,0
20070801,21,43,19,42,44,14,33,9,48,28,34,4,2,41,26,11,22,39,27,18,12,23,51,24,49,45,13,7,29,10,20,15,30,37,5,46,17,40,31,47,50,3,35,25,6,16,8,32,36,38,1,0
